text,label
"Uau, que total decepcionado!O fato de as pessoas pensarem que este filme é assustador é ridículo. Os efeitos especiais foram um roubo direto de ""The Ring"". A história?Houve um?Não na minha opinião... apenas um monte de imagens chamativas. O filme inteiro foi uma bagunça chata, estúpida. Eu acho que sempre há um mercado para filmes ruins com boas campanhas de marketing. No entanto, este é o pior filme de terror que já vi em anos. E aquela garota de Buffy?Bem, ela é uma má atriz!Tão plástico quanto Barbie e tão talentoso... não, espere, isso seria um insulto aos talentos da Barbie!Suponho que muitas crianças ajudaram esse filme nas bilheterias como era PG-13 e, se tivesse sido classificado como r, teria bombardeado IMO!Filme estúpido!",0
"Se Bob Ludlum visse essa mini série, ele teria chorado. Isso foi total perda de tempo e dinheiro. Eu li o livro e, embora os filmes não sejam exatamente o que o livro pode ser, a CBS perdeu tempo e dinheiro com isso e é embaraçoso afirmar que esse era o trabalho de Ludlum.   pode ser o criador deveriaConfira a identidade de Bourne com Richard Chamberlain e veja como a série de TV era boa. > Horrível !!",0
"Plantar um filme sobre um fantasma aleijado se vingando de além do grave coxo e sem vida seria muito irônico, mas isso aqui é uma combinação inegavelmente indistinta de Gaslight (1939 e 1944) via Les Diaboliques (1954);Embora ainda seja assistível em si, é tão clichê que provou risadas em vez dos calafrios pretendidos. No entanto, graças aos apuros, nos quais a indústria cinematográfica britânica se encontrou no final da década de 1970, mesmo um roteiro medíocre como este foi capaz de atrair 10 nomes de estrelas - Cliff Robertson (como o marido conivente), Jean Simmons (nopapel-título), Jenny Agutter (como a meia-irmã do artista de Robertson), Simon Ward (como o enigmático motorista), Ron Moody (como médico malfadado), Michael Jayston (como parceiro de negócios de Robertson), Judy Geeson (como Simmons 'Melhor amigo e esposa de Jayston), Flora Robson (como governanta), David Tomlinson (como a vontade do notário lendo Simmons) e, mais surpreendentemente, talvez, Jack Warner (como escultor de lápide) - embora a maioria deles realmente não tenha nada,Me desculpe por dizer!",0
"Eles fazem sexo com melões na Ásia.   Ok. Primeiro, duvidava disso, mas depois de ver a nuvem rebelde, mudei de idéia e finalmente estava convencido de que eles fazem sexo com melancias, com pessoas mortas ou vivas. Sem sexo seguro, é claro. O (terrivelmente feio) líder atira tudo na boca da dama depois que ele fez a senhora morta. Nunca ouviu falar de HIV?acho que não.   O resto deste filme é principalmente chato, mas também incrivelmente revoltante. De fato, em partes ficou tão nojento que eu não conseguia tirar meus olhos virgens. Sexo com pessoas mortas!Quão nojento é isso?E qual é a mensagem por trás de tudo?Precisamos de água, precisamos de melões, precisamos estar mortos para fazer sexo?Desculpe, mas isso fede!",0
"Embora a produção e a direção de Jerry Jameson sejam melhorias definitivas, ""Airport '77"" não é muito melhor que ""Aeroporto 1975"": submersão de lixo comercial e escorregadia (desta vez literalmente) um elenco decente. Jack Lemmon é o piloto de um avião lotado que é seqüestrado por ladrões de arte e cai no mar (toda a publicidade alegou que estava perto do triângulo das Bermudas, mas não há menção a ele no próprio filme). Quando os navios de resgate vêm para levantar o avião da água, vemos todos os seus guindastes caindo (bastante cegamente) no oceano e é difícil não rir (imaginando os guindastes conectando o avião, os passageiros e o roteiro alagado). A NBC costumava transportar o que parecia ser o ""Corte do Diretor"", com pelo menos uma hora de filmagens extras-flashbacks, mais injetadas no processo com toda a sutileza de um episódio de ""Ilha de Gilligan"". O momento mais emocionante é o acidente de avião, e alguns dos jogadores se divertem um pouco: Lee Grant é um bêbado desagradável, Brenda Vaccaro, uma aeromoça sem sentido, Joseph Cotten e Olivia de Havilland estão flertando idosos. Ainda assim, os conflitos de personalidade e os detalhes militares excruciantes acabam rasgando a paciência. ** a partir de ****",0
Este filme foi muito mal escrito. Os personagens não tinham profundidade. Eles nunca deveriam ter feito um filme disso. Meu filho de 11 anos poderia escrever um roteiro melhor do que Hyung-rae Shim.   O único ator que não sugou era o guarda do zoológico. Ele era o único engraçado e crível um dos lote. Sendo demonicus. T até dragões... então por que eles ligaram para D-War?,0
"O fato de haver comentários positivos sobre Dan na vida real no IMDB apenas me faz perceber que seus funcionários de junket estão trabalhando duro tentando fazer as pessoas assistirem a esse filme totalmente horrível.   Não tenho palavras, não faço ideia por onde começar a descrever o filme verdadeiramente terrível que eu me sentei ontem à noite - Dan na vida real. Os personagens de Steve nos filmes anteriores me levaram a acreditar que eu sentiria algo por seu personagem e apreciaria o diálogo, mas, como outros pôsteres, me senti desconfortável e envergonhada pelo elenco.   O diálogo era tão artificial, a famíliaEsse cortador de biscoitos Walton's Family e o filme já foi tantas vezes antes que estou chocado com alguém que pensou que era uma idéia original.   Faça um favor a si mesmo e faça um passe nesse filme terrivelmente ruim e nãoAcreditava tudo o que você lê no IMDB, já que os primeiros comentários foram claramente escritos por pessoas sentadas em um teatro diferente assistindo a um bom filme.",0
"Ok, eu aluguei este filme por causa do diretor... ele fez alguns filmes interessantes no passado (se você não viu o Waxork, está perdendo um passeio divertido). De qualquer forma, tive minhas dúvidas sobre este filme desde o início, mas decidi sugar e dar uma olhada. É mau. Muito mal. Se você não viu o filme e não se importa com os spoilers de ler com antecedência. Primeiro de tudo, o velho ditado 'você não pode julgar um livro pela capa' se aplica aqui. A caixa para esse filme parece indicar que Jill é a raposa de pedra com cabelos compridos com destaques. A parte de trás da caixa tem uma foto legal da Jill de couro vermelho e algumas outras fotos. A descrição faz você querer alugar o filme porque parece bom. Você começa a assistir e de repente descobre que o filme acontece (inexplicavelmente) em 1977. Jill é um cachorro total que não é a garota na capa. O filme não é tão previsível quanto você pensaria... e isso não é uma coisa boa. Os personagens fazem tantas coisas estúpidas sem nenhum pouco de motivação... é embaraçoso de assistir. 10 minutos antes do final do filme Dolph e outra senhora fazem sexo sem um bom motivo. Além disso, qual era o sentido de fazer Dolph matar essa outra dama a sangue frio que o ajudava. Anthony Hickox O diretor deveria ter visto um fedor quando leu o roteiro. Se tivesse sido ambientado no submundo do novo milênio e fez os personagens meio inteligentes, poderia ter sido decente. Definê -lo nos anos 70 não faz sentido e não tem nenhuma influência na história. Evite isso!",0
"O cara que escreveu, dirigiu e olhou para este pedaço chocante de lixo deveria realmente considerar uma mudança de cuidador. Sim Rob Stefaniuk, quero dizer você!Sério, quem financiou essa porcaria?Existem tantos escritores talentosos por aí que o dinheiro poderia ser melhor gasto. Eu acho que a ideia é ótima, mas a atuação, o roteiro e a direção é simplesmente horrível!As piadas não são tão engraçadas, eu entendo que elas deveriam estar levando o Mickey. Mas faça isso com estilo, este filme está gritando nos esquetes ao vivo de Saturday Night de 1995. Por que, novamente, por que os estúdios dão dinheiro a hacks como Rob Stefaniuk - nunca dê a um comediante a oportunidade de escrever diretamente e estrelar seu próprio filme. Duh!",0
"Faz quase 30 anos e ainda odeio todos os envolvidos neste filme. Continua sendo o pior filme que eu já vi. Depois de ver este filme, tenho uma reação alérgica quando a vejo acidentalmente na televisão.   fui arrastado para isso - contra meu melhor julgamento - por pressão dos colegas. No entanto, saindo do teatro, esses amigos juram um juramento para nunca mais anular minha escolha de filme. Quase trinta anos depois, ainda carregamos cicatrizes mentais deste filme. Nunca o fez. Espero que talvez eu possa alertar os outros contra ver este filme. Se eu puder salvar apenas uma pessoa de assistir a isso, minha existência nesta terra será justificada.",0
