prompt,accuracy,f1,num_tokens
"Classifique o sentimento deste texto como 'positivo' ou 'negativo', levando em conta as emoções e a intenção do autor.",0.86,0.8703703703703703,23
"Classifique o sentimento expresso neste texto como 'positivo' ou 'negativo', analisando as emoções subjacentes e a intenção do autor.",0.85,0.8623853211009175,23
Identifique o sentimento predominante neste texto e classifique-o como 'positivo' ou 'negativo'.,0.84,0.8571428571428571,15
"Classifique o sentimento deste texto como 'positivo' ou 'negativo', considerando as emoções expressas e a intenção do autor.",0.84,0.8545454545454545,22
"Classifique o sentimento deste texto como 'positivo' ou 'negativo', considerando as emoções transmitidas e a perspectiva do autor.",0.83,0.8495575221238938,22
Analise o sentimento expressado neste comentário e determine se é 'positivo' ou 'negativo'.,0.82,0.8448275862068966,16
"Classifique o sentimento deste texto como 'positivo' ou 'negativo', considerando a emoção principal expressa.",0.81,0.8376068376068376,18
Avalie o sentimento geral da opinião apresentada e indique se é positiva ou negativa.,0.8,0.8275862068965517,15
"Classifique o tom geral desta análise de filme como sendo 'positivo', 'negativo' ou 'neutro'.",0.79,0.8173913043478261,19
Interprete o sentimento desta crítica e indique se o autor está elogiando ou criticando o filme.,0.78,0.8166666666666667,17
"Classifique o sentimento do texto a seguir como ""positivo"" ou ""negativo"".",0.78,0.8135593220338984,16
"Classifique o sentimento deste texto como 'positivo' ou 'negativo', levando em conta as emoções e opiniões expressas.",0.78,0.8103448275862069,21
Determine se a opinião expressa na crítica a seguir reflete um sentimento positivo ou negativo sobre o filme.,0.77,0.8,19
"Classifique o sentimento deste texto como 'positivo' ou 'negativo', levando em conta a emoção que mais se destaca.",0.75,0.7933884297520661,22
"Avalie o sentimento desta crítica de filme e classifique-a como 'positiva', 'negativa' ou 'neutra'.",0.68,0.7288135593220338,19
Determine a polaridade da crítica do filme: a opinião expressa é positiva ou negativa?,0.62,0.7121212121212122,16
Analise o texto da crítica e determine se ela transmite um sentimento de aprovação ou desaprovação.,0.61,0.706766917293233,17
Decida se a crítica abaixo expressa uma visão favorável ou desfavorável do filme.,0.6,0.6666666666666666,14
Determine se a crítica expressa uma avaliação favorável ou desfavorável.,0.57,0.6504065040650406,11
"Classifique o sentimento deste texto como 'positivo' ou 'negativo', considerando as emoções expressas e a intenção do autor.",0.86,0.875,22
